Card Name,Set Name,Set Code,Card Number,Quantity
Aegis Turtle,Unknown,FDN,150,2
Brineborn Cutthroat,Unknown,FDN,152,2
Essence Scatter,Unknown,FDN,153,2
Mocking Sprite,Unknown,FDN,159,1
Helpful Hunter,Unknown,FDN,16,4
Spectral Sailor,Unknown,FDN,164,2
Bake into a Pie,Unknown,FDN,169,2
Diregraf Ghoul,Unknown,FDN,171,4
Eaten Alive,Unknown,FDN,172,2
Fake Your Own Death,Unknown,FDN,174,1
Hero's Downfall,Unknown,FDN,175,3
Phyrexian Arena,Unknown,FDN,180,1
Reassembling Skeleton,Unknown,FDN,182,2
Rise of the Dark Realms,Unknown,FDN,183,1
Vampire Nighthawk,Unknown,FDN,186,2
Zombify,Unknown,FDN,187,3
Abrade,Unknown,FDN,188,1
Axgard Cavalry,Unknown,FDN,189,2
Burst Lightning,Unknown,FDN,192,4
"Drakuseth, Maw of Flames",Unknown,FDN,193,1
"Etali, Primal Storm",Unknown,FDN,194,1
Fanatical Firebrand,Unknown,FDN,195,3
Frenzied Goblin,Unknown,FDN,199,2
"Arahbo, the First Fang",Unknown,FDN,2,1
Goblin Surprise,Unknown,FDN,200,2
Heartfire Immolator,Unknown,FDN,201,2
"Krenko, Mob Boss",Unknown,FDN,204,1
Bushwhack,Unknown,FDN,215,1
Raise the Past,Unknown,FDN,22,1
Garruk's Uprising,Unknown,FDN,220,1
Giant Growth,Unknown,FDN,223,3
Llanowar Elves,Unknown,FDN,227,3
Mild-Mannered Librarian,Unknown,FDN,228,3
Nessian Hornbeetle,Unknown,FDN,229,3
Overrun,Unknown,FDN,230,1
Scavenging Ooze,Unknown,FDN,232,1
Snakeskin Veil,Unknown,FDN,233,1
Vivien Reid,Unknown,FDN,234,1
Wary Thespian,Unknown,FDN,235,1
"Balmor, Battlemage Captain",Unknown,FDN,237,1
Empyrean Eagle,Unknown,FDN,239,3
Good-Fortune Unicorn,Unknown,FDN,240,3
Heroic Reinforcements,Unknown,FDN,241,2
"Ruby, Daring Tracker",Unknown,FDN,245,2
"Tatyova, Benthic Druid",Unknown,FDN,247,2
Sun-Blessed Healer,Unknown,FDN,25,2
Gleaming Barrier,Unknown,FDN,252,3
Goldvein Pick,Unknown,FDN,253,3
Bloodfell Caves,Unknown,FDN,259,1
Blossoming Sands,Unknown,FDN,260,1
Evolving Wilds,Unknown,FDN,262,1
Jungle Hollow,Unknown,FDN,263,1
Rugged Highlands,Unknown,FDN,265,1
Scoured Barrens,Unknown,FDN,266,1
Swiftwater Cliffs,Unknown,FDN,268,1
Thornwood Falls,Unknown,FDN,269,1
Tranquil Cove,Unknown,FDN,270,1
Wind-Scarred Crag,Unknown,FDN,271,1
Plains,Unknown,FDN,272,1
Plains,Unknown,FDN,273,1
Island,Unknown,FDN,274,1
Island,Unknown,FDN,275,1
Swamp,Unknown,FDN,276,1
Swamp,Unknown,FDN,277,1
Mountain,Unknown,FDN,278,1
Mountain,Unknown,FDN,279,1
Vanguard Seraph,Unknown,FDN,28,2
Forest,Unknown,FDN,280,1
Forest,Unknown,FDN,281,1
Arcane Epiphany,Unknown,FDN,29,2
Archmage of Runes,Unknown,FDN,30,1
Bigfin Bouncer,Unknown,FDN,31,2
Curator of Destinies,Unknown,FDN,34,1
Drake Hatcher,Unknown,FDN,35,1
Faebloom Trick,Unknown,FDN,38,3
Cat Collector,Unknown,FDN,4,2
High Fae Trickster,Unknown,FDN,40,1
Inspiration from Beyond,Unknown,FDN,43,2
"Kiora, the Rising Tide",Unknown,FDN,45,1
Mischievous Mystic,Unknown,FDN,47,2
Inspiring Overseer,Unknown,FDN,496,1
Leonin Vanguard,Unknown,FDN,499,3
Celestial Armor,Unknown,FDN,5,1
Moment of Triumph,Unknown,FDN,500,2
Twinblade Paladin,Unknown,FDN,503,2
Exclusion Mage,Unknown,FDN,508,3
Opt,Unknown,FDN,512,4
Quick Study,Unknown,FDN,513,1
Crow of Dark Tidings,Unknown,FDN,519,2
Moment of Craving,Unknown,FDN,524,2
Undying Malice,Unknown,FDN,528,2
Dragon Fodder,Unknown,FDN,535,2
Abyssal Harvester,Unknown,FDN,54,1
Scorching Dragonfire,Unknown,FDN,545,2
Skyraker Giant,Unknown,FDN,547,2
Arbiter of Woe,Unknown,FDN,55,2
Druid of the Cowl,Unknown,FDN,554,4
Magnigoth Sentry,Unknown,FDN,556,2
Billowing Shriekmass,Unknown,FDN,56,2
Angelic Destiny,Unknown,FDN,565,1
Crusader of Odric,Unknown,FDN,569,3
Dawnwing Marshal,Unknown,FDN,570,2
Regal Caracal,Unknown,FDN,579,1
Release the Dogs,Unknown,FDN,580,2
Stasis Snare,Unknown,FDN,581,3
Valorous Stance,Unknown,FDN,583,2
Arcanis the Omnipotent,Unknown,FDN,585,1
Chart a Course,Unknown,FDN,586,2
Dive Down,Unknown,FDN,588,3
Fog Bank,Unknown,FDN,591,2
Claws Out,Unknown,FDN,6,4
Gutless Plunderer,Unknown,FDN,60,1
Midnight Reaper,Unknown,FDN,609,1
High-Society Hunter,Unknown,FDN,61,1
Tribute to Hunger,Unknown,FDN,614,2
Vampiric Rites,Unknown,FDN,615,1
Ghitu Lavarunner,Unknown,FDN,623,4
Giant Cindermaw,Unknown,FDN,624,2
Infernal Vessel,Unknown,FDN,63,2
Circuitous Route,Unknown,FDN,635,2
Infestation Sage,Unknown,FDN,64,3
Primeval Bounty,Unknown,FDN,644,1
Rampaging Baloths,Unknown,FDN,645,1
Vizier of the Menagerie,Unknown,FDN,649,1
Midnight Snack,Unknown,FDN,65,1
"Aurelia, the Warleader",Unknown,FDN,651,1
Cloudblazer,Unknown,FDN,653,2
Enigma Drake,Unknown,FDN,657,2
"Halana and Alena, Partners",Unknown,FDN,659,1
Mortify,Unknown,FDN,662,2
"Ovika, Enigma Goliath",Unknown,FDN,663,1
Sanguine Syphoner,Unknown,FDN,68,3
Azorius Guildgate,Unknown,FDN,683,4
Boros Guildgate,Unknown,FDN,684,2
Dimir Guildgate,Unknown,FDN,688,4
Golgari Guildgate,Unknown,FDN,689,4
Gruul Guildgate,Unknown,FDN,690,4
Izzet Guildgate,Unknown,FDN,691,4
Orzhov Guildgate,Unknown,FDN,692,4
Rakdos Guildgate,Unknown,FDN,693,4
Selesnya Guildgate,Unknown,FDN,694,4
Simic Guildgate,Unknown,FDN,695,4
Temple of Abandon,Unknown,FDN,696,1
Temple of Deceit,Unknown,FDN,697,1
Temple of Enlightenment,Unknown,FDN,698,1
Temple of Epiphany,Unknown,FDN,699,1
Soul-Shackled Zombie,Unknown,FDN,70,1
Temple of Malady,Unknown,FDN,700,1
Temple of Malice,Unknown,FDN,701,1
Temple of Mystery,Unknown,FDN,702,1
Temple of Plenty,Unknown,FDN,703,1
Temple of Silence,Unknown,FDN,704,1
Temple of Triumph,Unknown,FDN,705,1
Lyra Dawnbringer,Unknown,FDN,707,1
Stab,Unknown,FDN,71,4
Massacre Wurm,Unknown,FDN,714,1
Unflinching Courage,Unknown,FDN,722,1
Tragic Banshee,Unknown,FDN,73,2
Hinterland Sanctifier,Unknown,FDN,730,2
Vampire Gourmand,Unknown,FDN,74,3
Vengeful Bloodwitch,Unknown,FDN,76,2
Battlesong Berserker,Unknown,FDN,78,2
Dauntless Veteran,Unknown,FDN,8,2
Bulk Up,Unknown,FDN,80,1
Courageous Goblin,Unknown,FDN,82,2
Fiery Annihilation,Unknown,FDN,86,2
Goblin Boarders,Unknown,FDN,87,3
Dazzling Angel,Unknown,FDN,9,2
Incinerating Blast,Unknown,FDN,90,1
Searslicer Goblin,Unknown,FDN,93,1
Slumbering Cerberus,Unknown,FDN,94,3
Strongbox Raider,Unknown,FDN,96,2
Apothecary Stomper,Unknown,FDN,99,2
Shinra Reinforcements,Unknown,FIN,118,2
"Sidequest: Hunt the Mark // Yiazmat, Ultimate Mark",Unknown,FIN,119,1
Sabotender,Unknown,FIN,153,1
Clash of the Eikons,Unknown,FIN,180,1
Commune with Beavers,Unknown,FIN,182,1
"Torgal, A Fine Hound",Unknown,FIN,208,1
Magitek Armor,Unknown,FIN,24,1
Excalibur II,Unknown,FIN,257,1
The Regalia,Unknown,FIN,267,1
"Insomnia, Crown City",Unknown,FIN,282,1
"Jidoor, Aristocratic Capital // Overture",Unknown,FIN,284,1
"Sharlayan, Nation of Scholars",Unknown,FIN,288,1
"Vector, Imperial Capital",Unknown,FIN,291,1
Plains,Unknown,FIN,294,1
Island,Unknown,FIN,297,1
Swamp,Unknown,FIN,300,1
Mountain,Unknown,FIN,303,1
Forest,Unknown,FIN,306,1
Slash of Light,Unknown,FIN,32,1
Snow Villiers,Unknown,FIN,33,1
You're Not Alone,Unknown,FIN,44,1
Combat Tutorial,Unknown,FIN,48,2
Scorpion Sentinel,Unknown,FIN,72,1
Stolen Uniform,Unknown,FIN,75,1
Stuck in Summoner's Sanctum,Unknown,FIN,76,1
Black Mage's Rod,Unknown,FIN,90,1
Snow-Covered Plains,Unknown,KHM,276,1
Snow-Covered Plains,Unknown,KHM,277,1
Snow-Covered Island,Unknown,KHM,278,1
Snow-Covered Island,Unknown,KHM,279,1
Snow-Covered Swamp,Unknown,KHM,280,1
Snow-Covered Swamp,Unknown,KHM,281,1
Snow-Covered Mountain,Unknown,KHM,282,1
Snow-Covered Mountain,Unknown,KHM,283,1
Snow-Covered Forest,Unknown,KHM,284,1
Snow-Covered Forest,Unknown,KHM,285,1
Bring Low,Unknown,KTK,103,1
Dragon Grip,Unknown,KTK,107,1
Monastery Swiftspear,Unknown,KTK,118,4
Tormenting Voice,Unknown,KTK,123,1
Alpine Grizzly,Unknown,KTK,127,1
Naturalize,Unknown,KTK,142,1
Windstorm,Unknown,KTK,157,1
Mantis Rider,Unknown,KTK,184,1
Savage Knuckleblade,Unknown,KTK,197,1
Surrak Dragonclaw,Unknown,KTK,206,1
Abzan Banner,Unknown,KTK,215,1
Witness of the Ages,Unknown,KTK,228,1
Bloodfell Caves,Unknown,KTK,229,1
Swiftwater Cliffs,Unknown,KTK,243,1
Plains,Unknown,KTK,250,1
Plains,Unknown,KTK,251,1
Plains,Unknown,KTK,252,1
Plains,Unknown,KTK,253,1
Island,Unknown,KTK,256,1
Island,Unknown,KTK,257,1
Swamp,Unknown,KTK,259,1
War Behemoth,Unknown,KTK,29,1
Scaldkin,Unknown,KTK,52,1
Weave Fate,Unknown,KTK,61,1
Bitter Revelation,Unknown,KTK,65,2
Kheru Dreadmaw,Unknown,KTK,76,1
Ruthless Ripper,Unknown,KTK,88,1
Sidisi's Pet,Unknown,KTK,90,1
Dusk Rose Reliquary,Unknown,LCI,10,2
Deep-Cavern Bat,Unknown,LCI,102,2
Fanatical Offering,Unknown,LCI,105,1
Greedy Freebooter,Unknown,LCI,109,2
Join the Dead,Unknown,LCI,110,2
Primordial Gnawer,Unknown,LCI,114,1
Rampaging Spiketail,Unknown,LCI,116,1
Screaming Phantom,Unknown,LCI,118,2
Skullcap Snail,Unknown,LCI,119,2
Stinging Cave Crawler,Unknown,LCI,124,1
Abrade,Unknown,LCI,131,2
Belligerent Yearling,Unknown,LCI,133,1
Bonehoard Dracosaur,Unknown,LCI,134,1
Brazen Blademaster,Unknown,LCI,136,2
"Breeches, Eager Pillager",Unknown,LCI,137,1
Burning Sun Cavalry,Unknown,LCI,138,3
Calamitous Cave-In,Unknown,LCI,139,1
Child of the Volcano,Unknown,LCI,140,2
Curator of Sun's Creation,Unknown,LCI,141,2
Daring Discovery,Unknown,LCI,142,2
Dinotomaton,Unknown,LCI,144,3
Dire Flail // Dire Blunderbuss,Unknown,LCI,145,1
Dowsing Device // Geode Grotto,Unknown,LCI,146,1
Dreadmaw's Ire,Unknown,LCI,147,2
Etali's Favor,Unknown,LCI,149,3
Geological Appraiser,Unknown,LCI,150,2
Goblin Tomb Raider,Unknown,LCI,151,1
Hit the Mother Lode,Unknown,LCI,153,1
Idol of the Deep King // Sovereign's Macuahuitl,Unknown,LCI,155,1
"Inti, Seneschal of the Sun",Unknown,LCI,156,1
Panicked Altisaur,Unknown,LCI,159,2
Guardian of the Great Door,Unknown,LCI,16,2
Plundering Pirate,Unknown,LCI,160,2
Poetic Ingenuity,Unknown,LCI,161,1
Rampaging Ceratops,Unknown,LCI,162,2
Rumbling Rockslide,Unknown,LCI,163,2
Seismic Monstrosaur,Unknown,LCI,166,1
Sunshot Militia,Unknown,LCI,168,1
Trumpeting Carnosaur,Unknown,LCI,171,1
Zoyowa's Justice,Unknown,LCI,173,1
Armored Kincaller,Unknown,LCI,174,3
Basking Capybara,Unknown,LCI,175,2
Cavern Stomper,Unknown,LCI,177,2
Ironpaw Aspirant,Unknown,LCI,18,2
Earthshaker Dreadmaw,Unknown,LCI,183,1
"Ghalta, Stampede Tyrant",Unknown,LCI,185,1
Huatli's Final Strike,Unknown,LCI,190,3
Hulking Raptor,Unknown,LCI,191,1
In the Presence of Ages,Unknown,LCI,192,2
Jadelight Spelunker,Unknown,LCI,196,1
Malamet Brawler,Unknown,LCI,199,1
Acrobatic Leap,Unknown,LCI,2,2
Malamet Veteran,Unknown,LCI,201,1
Over the Edge,Unknown,LCI,205,1
Pathfinding Axejaw,Unknown,LCI,206,2
Poison Dart Frog,Unknown,LCI,207,2
Pugnacious Hammerskull,Unknown,LCI,208,1
River Herald Guide,Unknown,LCI,209,2
Seeker of Sunlight,Unknown,LCI,210,1
Sentinel of the Nameless City,Unknown,LCI,211,1
Staggering Size,Unknown,LCI,214,1
"Anim Pakal, Thousandth Moon",Unknown,LCI,223,1
Caparocti Sunborn,Unknown,LCI,226,1
"Captain Storm, Cosmium Raider",Unknown,LCI,227,1
Deepfathom Echo,Unknown,LCI,228,1
"Itzquinth, Firstborn of Gishath",Unknown,LCI,230,2
Miner's Guidewing,Unknown,LCI,24,2
Sovereign Okinec Ahau,Unknown,LCI,240,1
"Uchbenbak, the Great Mistake",Unknown,LCI,242,1
Zoyowa Lava-Tongue,Unknown,LCI,245,1
Careening Mine Cart,Unknown,LCI,247,2
Cartographer's Companion,Unknown,LCI,248,1
"Chimil, the Inner Sun",Unknown,LCI,249,1
Compass Gnome,Unknown,LCI,250,1
Hoverstone Pilgrim,Unknown,LCI,254,2
"Matzalantli, the Great Door // The Core",Unknown,LCI,256,1
Roaming Throne,Unknown,LCI,258,1
Scampering Surveyor,Unknown,LCI,260,1
Captivating Cave,Unknown,LCI,268,1
Cavern of Souls,Unknown,LCI,269,2
Cavernous Maw,Unknown,LCI,270,1
Echoing Deeps,Unknown,LCI,271,1
Forgotten Monument,Unknown,LCI,272,1
Hidden Courtyard,Unknown,LCI,274,2
Hidden Nursery,Unknown,LCI,276,1
Hidden Volcano,Unknown,LCI,277,2
Pit of Offerings,Unknown,LCI,278,1
Promising Vein,Unknown,LCI,279,1
Oltec Cloud Guard,Unknown,LCI,28,2
Oteclan Landmark // Oteclan Levitator,Unknown,LCI,29,2
Adaptive Gemguard,Unknown,LCI,3,1
Petrify,Unknown,LCI,30,2
Resplendent Angel,Unknown,LCI,32,1
Sanguine Evangelist,Unknown,LCI,34,2
Soaring Sandwing,Unknown,LCI,35,2
Thousand Moons Infantry,Unknown,LCI,38,2
Thousand Moons Smithy // Barracks of the Thousand,Unknown,LCI,39,1
Sunken Citadel,Unknown,LCI,392,1
Plains,Unknown,LCI,393,1
Plains,Unknown,LCI,394,1
Island,Unknown,LCI,395,1
Island,Unknown,LCI,396,1
Swamp,Unknown,LCI,397,1
Swamp,Unknown,LCI,398,1
Mountain,Unknown,LCI,399,1
Attentive Sunscribe,Unknown,LCI,4,2
Tinker's Tote,Unknown,LCI,40,2
Mountain,Unknown,LCI,400,1
Forest,Unknown,LCI,401,1
Unstable Glyphbridge // Sandswirl Wanderglyph,Unknown,LCI,41,1
Vanguard of the Rose,Unknown,LCI,42,1
Warden of the Inner Sky,Unknown,LCI,43,4
Chart a Course,Unknown,LCI,48,1
Didact Echo,Unknown,LCI,53,1
Frilled Cave-Wurm,Unknown,LCI,57,1
Clay-Fired Bricks // Cosmium Kiln,Unknown,LCI,6,1
Inverted Iceberg // Iceberg Titan,Unknown,LCI,60,1
Oaken Siren,Unknown,LCI,66,1
Orazca Puzzle-Door,Unknown,LCI,68,2
Pirate Hat,Unknown,LCI,70,1
Relic's Roar,Unknown,LCI,71,2
River Herald Scout,Unknown,LCI,72,2
Shipwreck Sentry,Unknown,LCI,75,1
Spyglass Siren,Unknown,LCI,78,1
Staunch Crewmate,Unknown,LCI,79,1
Tishana's Tidebinder,Unknown,LCI,81,2
Unlucky Drop,Unknown,LCI,82,1
Waterwind Scout,Unknown,LCI,84,2
Waylaying Pirates,Unknown,LCI,85,1
Another Chance,Unknown,LCI,90,1
Bitter Triumph,Unknown,LCI,91,1
Bloodthorn Flail,Unknown,LCI,93,1
Canonized in Blood,Unknown,LCI,96,1
Corpses of the Lost,Unknown,LCI,98,1
Dead Weight,Unknown,LCI,99,1
A-Geological Appraiser,Unknown,LCI,A-150e,2
Banish from Edoras,Unknown,LTR,1,1
"Sauron, the Necromancer",Unknown,LTR,106,1
Shadow of the Enemy,Unknown,LTR,107,1
Errand-Rider of Gondor,Unknown,LTR,11,1
Battle-Scarred Goblin,Unknown,LTR,115,1
Book of Mazarbul,Unknown,LTR,116,1
Escape from Orthanc,Unknown,LTR,12,1
Erebor Flamesmith,Unknown,LTR,122,2
"Faramir, Field Commander",Unknown,LTR,14,1
Quarrel's End,Unknown,LTR,141,1
Bag End Porter,Unknown,LTR,153,1
Bombadil's Song,Unknown,LTR,154,1
Brandywine Farmer,Unknown,LTR,155,1
Celeborn the Wise,Unknown,LTR,156,2
Chance-Met Elves,Unknown,LTR,157,3
Fog on the Barrow-Downs,Unknown,LTR,16,2
Elven Farsight,Unknown,LTR,161,3
Galadhrim Bow,Unknown,LTR,167,1
Galadhrim Guide,Unknown,LTR,168,2
Generous Ent,Unknown,LTR,169,1
"Glorfindel, Dauntless Rescuer",Unknown,LTR,171,1
Lothlórien Lookout,Unknown,LTR,175,2
Meriadoc Brandybuck,Unknown,LTR,177,1
Mirrormere Guardian,Unknown,LTR,179,1
"Frodo, Sauron's Bane",Unknown,LTR,18,1
Mushroom Watchdogs,Unknown,LTR,180,1
Peregrin Took,Unknown,LTR,181,1
Radagast the Brown,Unknown,LTR,184,1
Shortcut to Mushrooms,Unknown,LTR,187,1
Stew the Coneys,Unknown,LTR,189,1
Arwen Undómiel,Unknown,LTR,194,2
"The Balrog, Durin's Bane",Unknown,LTR,195,1
"Denethor, Ruling Steward",Unknown,LTR,198,1
The Battle of Bywater,Unknown,LTR,2,1
Hobbit's Sting,Unknown,LTR,20,1
"Elrond, Master of Healing",Unknown,LTR,200,1
Flame of Anor,Unknown,LTR,203,1
Gandalf the Grey,Unknown,LTR,207,1
"Landroval, Horizon Witness",Unknown,LTR,21,1
"Legolas, Counter of Kills",Unknown,LTR,212,1
Lost to Legend,Unknown,LTR,22,1
Shadow Summoning,Unknown,LTR,226,1
Nimble Hobbit,Unknown,LTR,23,1
"Now for Wrath, Now for Ruin!",Unknown,LTR,24,1
Lembas,Unknown,LTR,243,1
Mirror of Galadriel,Unknown,LTR,244,1
Protector of Gondor,Unknown,LTR,25,1
Great Hall of the Citadel,Unknown,LTR,254,1
Reprieve,Unknown,LTR,26,1
The Shire,Unknown,LTR,260,1
Plains,Unknown,LTR,262,1
Plains,Unknown,LTR,263,1
Island,Unknown,LTR,264,1
Island,Unknown,LTR,265,1
Swamp,Unknown,LTR,266,1
Swamp,Unknown,LTR,267,1
Mountain,Unknown,LTR,268,1
Mountain,Unknown,LTR,269,1
Rosie Cotton of South Lane,Unknown,LTR,27,1
Forest,Unknown,LTR,270,1
Forest,Unknown,LTR,271,1
Samwise the Stouthearted,Unknown,LTR,28,1
Second Breakfast,Unknown,LTR,29,1
"Gandalf, White Rider",Unknown,LTR,290,1
Bill the Pony,Unknown,LTR,3,1
Slip On the Ring,Unknown,LTR,31,1
Soldier of the Grey Host,Unknown,LTR,32,1
Took Reaper,Unknown,LTR,35,1
War of the Last Alliance,Unknown,LTR,36,1
Westfold Rider,Unknown,LTR,37,1
You Cannot Pass!,Unknown,LTR,38,1
Deceive the Messenger,Unknown,LTR,47,1
Grey Havens Navigator,Unknown,LTR,53,3
Ioreth of the Healing House,Unknown,LTR,56,1
Lost Isle Calling,Unknown,LTR,61,1
Nimrodel Watcher,Unknown,LTR,63,3
Pelargir Survivor,Unknown,LTR,64,1
Eagles of the North,Unknown,LTR,7,2
Bitter Downfall,Unknown,LTR,77,1
The Black Breath,Unknown,LTR,78,1
Eastfarthing Farmer,Unknown,LTR,8,1
Cirith Ungol Patrol,Unknown,LTR,80,1
Dunland Crebain,Unknown,LTR,82,1
Lash of the Balrog,Unknown,LTR,92,1
Mirkwood Bats,Unknown,LTR,95,1
Morgul-Knife Wound,Unknown,LTR,98,1
Evolving Wilds,Unknown,M20,246,4
Take Vengeance,Unknown,M20,313,2
Bloodfell Caves,Unknown,M21,243,4
Blossoming Sands,Unknown,M21,244,4
Dismal Backwater,Unknown,M21,245,4
Jungle Hollow,Unknown,M21,247,4
Rugged Highlands,Unknown,M21,249,4
Scoured Barrens,Unknown,M21,250,4
Swiftwater Cliffs,Unknown,M21,251,4
Thornwood Falls,Unknown,M21,257,4
Tranquil Cove,Unknown,M21,258,4
Wind-Scarred Crag,Unknown,M21,259,4
Death-Rattle Oni,Unknown,MAT,13,1
Markov Baron,Unknown,MAT,14,1
Kolaghan Warmonger,Unknown,MAT,17,2
Animist's Might,Unknown,MAT,20,1
"Nissa, Resurgent Animist",Unknown,MAT,22,1
Campus Renovation,Unknown,MAT,27,1
Cosmic Rebirth,Unknown,MAT,28,2
Feast of the Victorious Dead,Unknown,MAT,30,1
"Nahiri, Forged in Fury",Unknown,MAT,36,1
"Samut, Vizier of Naktamun",Unknown,MAT,45,1
"Sigarda, Font of Blessings",Unknown,MAT,47,1
"Tazri, Stalwart Survivor",Unknown,MAT,6,1
Tolarian Contempt,Unknown,MAT,8,1
Timeless Dragon,Unknown,MH2,35,1
Fanged Flames,Unknown,MH3,118,1
Galvanic Discharge,Unknown,MH3,122,1
Molten Gatekeeper,Unknown,MH3,128,2
Powerbalance,Unknown,MH3,131,1
Thriving Skyclaw,Unknown,MH3,141,1
Colossal Dreadmask,Unknown,MH3,148,1
"Ulamog, the Defiler",Unknown,MH3,15,1
The Hunger Tide Rises,Unknown,MH3,158,1
Propagator Drone,Unknown,MH3,167,1
Emissary of Soulfire,Unknown,MH3,183,1
Bountiful Landscape,Unknown,MH3,217,1
Deceptive Landscape,Unknown,MH3,219,1
Foreboding Landscape,Unknown,MH3,221,1
Snow-Covered Wastes,Unknown,MH3,229,1
Tranquil Landscape,Unknown,MH3,231,1
"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Unknown,MH3,237,1
Buried Alive,Unknown,MH3,273,1
Branching Evolution,Unknown,MH3,285,1
Priest of Titania,Unknown,MH3,286,1
Plains,Unknown,MH3,310,1
Plains,Unknown,MH3,311,1
Island,Unknown,MH3,312,1
Island,Unknown,MH3,313,1
Swamp,Unknown,MH3,314,1
Swamp,Unknown,MH3,315,1
Mountain,Unknown,MH3,316,1
Mountain,Unknown,MH3,317,1
Forest,Unknown,MH3,318,1
Forest,Unknown,MH3,319,1
Voltstorm Angel,Unknown,MH3,46,1
Petrifying Meddler,Unknown,MH3,66,1
Roil Cartographer,Unknown,MH3,67,1
Kami of Jealous Thirst,Unknown,MH3,98,1
A-Galvanic Discharge,Unknown,MH3,A-122,1
Burn the Accursed,Unknown,MID,132,2
Lambholt Harrier,Unknown,MID,145,3
Mounted Dreadknight,Unknown,MID,150,3
Play with Fire,Unknown,MID,154,4
Voldaren Stinger,Unknown,MID,167,2
Timberland Guide,Unknown,MID,202,4
Plains,Unknown,MID,380,1
Forest,Unknown,MID,384,1
Fading Hope,Unknown,MID,51,2
Stormrider Spirit,Unknown,MID,79,2
Rot Farm Mortipede,Unknown,MKM,102,1
Slice from the Shadows,Unknown,MKM,103,2
Slimy Dualleech,Unknown,MKM,104,1
Snarling Gorehound,Unknown,MKM,105,2
Toxin Analysis,Unknown,MKM,107,3
Unscrupulous Agent,Unknown,MKM,109,2
Defenestrated Phantom,Unknown,MKM,11,2
Bolrac-Clan Basher,Unknown,MKM,112,1
Case of the Crimson Pulse,Unknown,MKM,114,1
The Chase Is On,Unknown,MKM,116,4
Connecting the Dots,Unknown,MKM,118,1
"Delney, Streetwise Lookout",Unknown,MKM,12,1
Crime Novelist,Unknown,MKM,121,1
Demand Answers,Unknown,MKM,122,3
Expedited Inheritance,Unknown,MKM,123,1
Felonious Rage,Unknown,MKM,125,4
Frantic Scapegoat,Unknown,MKM,126,1
Fugitive Codebreaker,Unknown,MKM,127,4
Galvanize,Unknown,MKM,128,3
Gearbane Orangutan,Unknown,MKM,129,1
Harried Dronesmith,Unknown,MKM,131,1
Innocent Bystander,Unknown,MKM,133,2
"Krenko, Baron of Tin Street",Unknown,MKM,135,1
Lamplight Phoenix,Unknown,MKM,137,1
Person of Interest,Unknown,MKM,139,1
Reckless Detective,Unknown,MKM,141,1
Red Herring,Unknown,MKM,142,2
Shock,Unknown,MKM,144,2
Suspicious Detonation,Unknown,MKM,145,2
Torch the Witness,Unknown,MKM,146,1
Archdruid's Charm,Unknown,MKM,151,1
Bite Down on Crime,Unknown,MKM,154,1
Case of the Locked Hothouse,Unknown,MKM,155,1
Case of the Trampled Garden,Unknown,MKM,156,1
Fanatical Strength,Unknown,MKM,159,2
Forum Familiar,Unknown,MKM,16,1
Glint Weaver,Unknown,MKM,162,2
Hedge Whisperer,Unknown,MKM,165,2
Loxodon Eavesdropper,Unknown,MKM,168,1
Griffnaut Tracker,Unknown,MKM,17,2
Pick Your Poison,Unknown,MKM,170,1
Rubblebelt Maverick,Unknown,MKM,174,2
They Went This Way,Unknown,MKM,178,2
Topiary Panther,Unknown,MKM,179,1
Haazda Vigilante,Unknown,MKM,18,2
Tunnel Tipster,Unknown,MKM,180,1
Undergrowth Recon,Unknown,MKM,181,1
"Alquist Proft, Master Sleuth",Unknown,MKM,185,1
Assassin's Trophy,Unknown,MKM,187,1
"Aurelia, the Law Above",Unknown,MKM,188,1
Detective's Satchel,Unknown,MKM,196,1
Dog Walker,Unknown,MKM,197,1
Drag the Canal,Unknown,MKM,199,1
"Etrata, Deadly Fugitive",Unknown,MKM,200,1
"Ezrim, Agency Chief",Unknown,MKM,202,1
Faerie Snoop,Unknown,MKM,203,1
Gadget Technician,Unknown,MKM,204,2
Gleaming Geardrake,Unknown,MKM,205,2
Granite Witness,Unknown,MKM,206,2
Ill-Timed Explosion,Unknown,MKM,207,2
Insidious Roots,Unknown,MKM,208,1
Leyline of the Guildpact,Unknown,MKM,217,1
Lightning Helix,Unknown,MKM,218,1
Meddling Youths,Unknown,MKM,219,1
Make Your Move,Unknown,MKM,22,2
"Niv-Mizzet, Guildpact",Unknown,MKM,220,1
No More Lies,Unknown,MKM,221,2
Officious Interrogation,Unknown,MKM,222,1
Private Eye,Unknown,MKM,223,2
Repulsive Mutation,Unknown,MKM,227,1
Riftburst Hellion,Unknown,MKM,228,1
Rune-Brand Juggler,Unknown,MKM,229,1
Makeshift Binding,Unknown,MKM,23,2
Sanguine Savior,Unknown,MKM,230,2
Shady Informant,Unknown,MKM,231,1
Undercover Crocodelf,Unknown,MKM,239,1
Marketwatch Phantom,Unknown,MKM,24,3
Warleader's Call,Unknown,MKM,242,3
Wispdrinker Vampire,Unknown,MKM,243,2
Worldsoul's Rage,Unknown,MKM,244,1
Museum Nightwatch,Unknown,MKM,25,4
Push // Pull,Unknown,MKM,250,1
Cryptex,Unknown,MKM,251,1
Magnifying Glass,Unknown,MKM,255,2
Sanitation Automaton,Unknown,MKM,256,1
